
============================================================
[DP Calibration]
  Target ε     = 8.0
  Target δ     = 1e-05
  Num rounds   = 25
  Sampling q   = 0.600 (3/5 clients)
  → Calibrated σ = 1.6701
============================================================

[Verification] σ=1.6701 → ε=8.0089 at α=3.0
               δ=1e-05, rounds=25, q=0.600

!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>

[DP-FedRAG] Starting training with formal privacy guarantee...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 0] step 2/11, C=3.2248, σ=1.6700732421874998, ‖∇‖=7044.0224
[DP-Client 0] step 4/11, C=3.2248, σ=1.6700732421874998, ‖∇‖=7044.5503
[DP-Client 0] step 6/11, C=3.2248, σ=1.6700732421874998, ‖∇‖=7044.5552
[DP-Client 0] step 8/11, C=3.2248, σ=1.6700732421874998, ‖∇‖=7044.1425
[DP-Client 0] step 10/11, C=3.2248, σ=1.6700732421874998, ‖∇‖=7042.8392
[DP-Client 1] step 0/16, C=2.9835, σ=1.6700732421874998, ‖∇‖=6516.8571
[DP-Client 1] step 3/16, C=2.9835, σ=1.6700732421874998, ‖∇‖=6516.3173
[DP-Client 1] step 6/16, C=2.9835, σ=1.6700732421874998, ‖∇‖=6517.9929
[DP-Client 1] step 9/16, C=2.9835, σ=1.6700732421874998, ‖∇‖=6517.6275
[DP-Client 1] step 12/16, C=2.9835, σ=1.6700732421874998, ‖∇‖=6517.7569
[DP-Client 1] step 15/16, C=2.9835, σ=1.6700732421874998, ‖∇‖=6516.5414
[DP-Client 2] step 0/22, C=4.1588, σ=1.6700732421874998, ‖∇‖=9084.3165
[DP-Client 2] step 4/22, C=4.1588, σ=1.6700732421874998, ‖∇‖=9085.2728
[DP-Client 2] step 8/22, C=4.1588, σ=1.6700732421874998, ‖∇‖=9083.4778
[DP-Client 2] step 12/22, C=4.1588, σ=1.6700732421874998, ‖∇‖=9084.9972
[DP-Client 2] step 16/22, C=4.1588, σ=1.6700732421874998, ‖∇‖=9084.0410
[DP-Client 2] step 20/22, C=4.1588, σ=1.6700732421874998, ‖∇‖=9083.0853
[DP-Client 3] step 0/16, C=3.5099, σ=1.6700732421874998, ‖∇‖=7667.5313
[DP-Client 3] step 3/16, C=3.5099, σ=1.6700732421874998, ‖∇‖=7667.1405
[DP-Client 3] step 6/16, C=3.5099, σ=1.6700732421874998, ‖∇‖=7666.6216
[DP-Client 3] step 9/16, C=3.5099, σ=1.6700732421874998, ‖∇‖=7667.4108
[DP-Client 3] step 12/16, C=3.5099, σ=1.6700732421874998, ‖∇‖=7666.8134
[DP-Client 3] step 15/16, C=3.5099, σ=1.6700732421874998, ‖∇‖=7666.8019
[DP-Client 4] step 0/50, C=3.2086, σ=1.6700732421874998, ‖∇‖=7009.3496
[DP-Client 4] step 10/50, C=3.2086, σ=1.6700732421874998, ‖∇‖=7008.4805
[DP-Client 4] step 20/50, C=3.2086, σ=1.6700732421874998, ‖∇‖=7008.2879
[DP-Client 4] step 30/50, C=3.2086, σ=1.6700732421874998, ‖∇‖=7008.5550
[DP-Client 4] step 40/50, C=3.2086, σ=1.6700732421874998, ‖∇‖=7009.1085
[DP-Client 0] step 0/11, C=3.0864, σ=1.6700732421874998, ‖∇‖=6741.3060
[DP-Client 0] step 2/11, C=3.0864, σ=1.6700732421874998, ‖∇‖=6741.5843
[DP-Client 0] step 4/11, C=3.0864, σ=1.6700732421874998, ‖∇‖=6742.4211
[DP-Client 0] step 6/11, C=3.0864, σ=1.6700732421874998, ‖∇‖=6742.7049
[DP-Client 0] step 8/11, C=3.0864, σ=1.6700732421874998, ‖∇‖=6741.4691
[DP-Client 0] step 10/11, C=3.0864, σ=1.6700732421874998, ‖∇‖=6741.7445
[DP-Client 1] step 0/16, C=2.4251, σ=1.6700732421874998, ‖∇‖=5297.1960
[DP-Client 1] step 3/16, C=2.4251, σ=1.6700732421874998, ‖∇‖=5297.2476
[DP-Client 1] step 6/16, C=2.4251, σ=1.6700732421874998, ‖∇‖=5296.6962
[DP-Client 1] step 9/16, C=2.4251, σ=1.6700732421874998, ‖∇‖=5297.5483
[DP-Client 1] step 12/16, C=2.4251, σ=1.6700732421874998, ‖∇‖=5297.0012
[DP-Client 1] step 15/16, C=2.4251, σ=1.6700732421874998, ‖∇‖=5297.2215
[DP-Client 2] step 0/22, C=1.9316, σ=1.6700732421874998, ‖∇‖=4219.1761
